tbpkid,batch,lc,prov,cnty,lc_prov,lc_cnty
133609,1409,LC199,37,372325,37,371500
133610,1409,LC016,43,430322,41,410100
133611,1409,LC091,61,612323,61,610700
133612,1409,LC200,32,320683,37,370600
133613,1409,LC160,14,142724,61,610103
133614,1409,LC022,51,511081,33,330100
133615,1409,LC200,37,370612,37,370600
133616,1409,LC165,13,130435,13,130100
133617,1409,LC091,61,612324,61,610700
133618,1409,LC022,41,410326,33,330100
133619,1409,LC160,61,610424,61,610103
133620,1409,LC200,37,371082,37,370600
133621,1409,LC165,13,130433,13,130100
133622,1409,LC200,37,371082,37,370600
133623,1409,LC346,41,410928,44,440304
133624,1409,LC345,34,342622,36,360400
133625,1409,LC006,61,610302,61,610300
133626,1409,LC200,37,370684,37,370600
133627,1409,LC022,61,612401,33,330100
133628,1409,LC334,61,612724,33,330326
133629,1409,LC115,31,310230,31,310106
133630,1409,LC115,31,310230,31,310106
133631,1409,LC115,31,310230,31,310106
133632,1409,LC115,31,310230,31,310106
133633,1409,LC115,41,410781,31,310106
133634,1409,LC160,61,610528,61,610103
133635,1409,LC115,31,310230,31,310106
133636,1409,LC115,32,320114,31,310106
